,name,street_type
833,Askims Kyrkväg,vägen
834,Askims Svedjeväg,vägen
835,Trollängsvägen,vägen
836,Landhöjningsvägen,vägen
837,Hovås Länsmansväg,vägen
838,Stegebergsvägen,vägen
839,Anders Zornsgatan,gatan
840,Albert Engströmsgatan,gatan
841,Månskäregatan,gatan
842,Brödragatan,gatan
843,Bäfverfeltsgatan,gatan
844,Kopparormsgatan,gatan
845,Skillnadsgatan,gatan
846,Prästgårdsgatan,gatan
847,Lövängsgatan,gatan
848,Claessonsgatan,gatan
849,Welandergatan,gatan
850,Norströmsgatan,gatan
851,Birkagatan,gatan
852,Riddaregatan,gatan
853,Friarelyckan,other
854,Svankällevägen,vägen
855,Gerrebacken,backen
856,Krattskogsvägen,vägen
857,Töltvägen,vägen
858,Travarevägen,vägen
859,Mobergets väg,vägen
860,Smöjträvägen,vägen
861,Draghästvägen,vägen
862,Ridhästvägen,vägen
863,Södra Stallbacken,backen
864,Bruntebacken,backen
865,Lilla Sabbatsvägen,vägen
866,Svankälleliden,other
867,Mysternavägen,vägen
868,Lilla Mysternavägen,vägen
869,Högmossevägen,vägen
870,Ingåsvägen,vägen
871,Laggvägen,vägen
872,Mystängen,other
873,Ponnybacken,backen
874,Fjordhästvägen,vägen
875,Fyrspannvägen,vägen
876,Fyrspannsvägen,vägen
877,Prilyckegatan,gatan
878,Lillekärr Södra,other
879,Kärravägen,vägen
880,Fredholmsgatan,gatan
881,Kärra Kapellväg,vägen
882,Transportgatan,gatan
883,Lerskäddegatan,gatan
884,Persgatan,gatan
885,Vävlagaregatan,gatan
886,Sankt Pauligatan,gatan
887,Lundgatan,gatan
888,Mäster Johansgatan,gatan
889,Svensksundsgatan,gatan
890,Svenslyckegatan,gatan
891,Rödtungegatan,gatan
892,Källängsgatan,gatan
893,Piggvarsgatan,gatan
894,Rödingsgatan,gatan
895,Lagmansgatan,gatan
896,Segerlindsgatan,gatan
897,Råstensgatan,gatan
898,Tingvallsvägen,vägen
899,Kaggeledsgatan,gatan
